#序号,任务名称,npcId,对话npc,任务提示,背景描述,奖励描述,任务类型名称,任务类型（主线任务1）,能否放弃,接受和完成任务接听（1：接受新任务  2：完成任务）,任务跟踪完成信息XML,任务跟踪完成信息普通文本,寻路链接参数（根据不同协议，提供不同超链接给显示内容）
TaskId_kn,TaskName_s,NpcIds_s,NpcNames_s,TaskTips_s,TaskBackground_s,TaskPrize_s,TaskTypeName_s,TaskType_n,Cancel_n,Listen_t1,TraceXMLContent_s,TraceContent_s,FindLink_t
1001,穿戴一件装备,10001,桤木西,装备穿戴,装备穿戴,,主线,1,,,装备穿戴#lime（已完成),与%s对话,
1003,技能升级1次,10001,桤木西,技能升级,技能升级,,主线,1,,,技能升级#lime（已完成),与%s对话,
1005,东海湾1-1,10001,桤木西,东海湾1-1,东海湾1-1,,主线,1,,,东海湾1-1#lime（已完成),与%s对话,
1007,宠物升级1次,10001,桤木西,宠物升级,宠物升级,,主线,1,,,宠物升级#lime（已完成),与%s对话,
1009,技能达到3级,10001,桤木西,技能达到3级,技能达到3级,,主线,1,,,技能达到3级#lime（已完成),与%s对话,
1011,东海湾1-2,10001,桤木西,东海湾1-2,东海湾1-2,,主线,1,,,东海湾1-2#lime（已完成),与%s对话,
1013,宠物达到3级,10001,桤木西,宠物达到3级,宠物达到3级,,主线,1,,,宠物达到3级#lime（已完成),与%s对话,
1015,穿戴5件装备,10001,桤木西,穿戴5件装备,穿戴5件装备,,主线,1,,,穿戴5件装备#lime（已完成),与%s对话,
1017,东海湾1-3,10001,桤木西,东海湾1-3,东海湾1-3,,主线,1,,,东海湾1-3#lime（已完成),与%s对话,
1019,强化达到1级,10001,桤木西,强化达到1级,强化达到1级,,主线,1,,,强化达到1级#lime（已完成),与%s对话,
1021,等级升到8级,10001,桤木西,等级升到8级,等级升到8级,,主线,1,,,等级升到8级#lime（已完成),与%s对话,
1023,东海湾1-4,10001,桤木西,东海湾1-4,东海湾1-4,,主线,1,,,东海湾1-4#lime（已完成),与%s对话,
1025,世界频道发言,10001,桤木西,世界频道发言,世界频道发言,,主线,1,,,世界频道发言#lime（已完成),与%s对话,
1027,坐骑进阶3次,10001,桤木西,坐骑进阶3次,坐骑进阶3次,,主线,1,,,坐骑进阶3次#lime（已完成),与%s对话,
1029,东海湾1-5,10001,桤木西,东海湾1-5,东海湾1-5,,主线,1,,,东海湾1-5#lime（已完成),与%s对话,
1031,宠物达到4级,10001,桤木西,宠物达到4级,宠物达到4级,,主线,1,,,宠物达到4级#lime（已完成),与%s对话,
1033,穿戴8件装备,10001,桤木西,穿戴8件装备,穿戴8件装备,,主线,1,,,穿戴8件装备#lime（已完成),与%s对话,
1035,东海湾1-6,10001,桤木西,东海湾1-6,东海湾1-6,,主线,1,,,东海湾1-6#lime（已完成),与%s对话,
1037,技能达到19级,10001,桤木西,技能达到19级,技能达到19级,,主线,1,,,技能达到19级#lime（已完成),与%s对话,
1039,等级升到18级,10001,桤木西,等级升到18级,等级升到18级,,主线,1,,,等级升到18级#lime（已完成),与%s对话,
1041,东海湾1-7,10001,桤木西,东海湾1-7,东海湾1-7,,主线,1,,,东海湾1-7#lime（已完成),与%s对话,
1043,强化达到2级,10001,桤木西,强化达到2级,强化达到2级,,主线,1,,,强化达到2级#lime（已完成),与%s对话,
1045,坐骑升到2阶,10001,桤木西,坐骑升到2阶,坐骑升到2阶,,主线,1,,,坐骑升到2阶#lime（已完成),与%s对话,
1047,东海湾1-8,10001,桤木西,东海湾1-8,东海湾1-8,,主线,1,,,东海湾1-8#lime（已完成),与%s对话,
1049,穿戴10件装备,10001,桤木西,穿戴10件装备,穿戴10件装备,,主线,1,,,穿戴10件装备#lime（已完成),与%s对话,
1051,熔炼一次装备,10001,桤木西,熔炼一次装备,熔炼一次装备,,主线,1,,,熔炼一次装备#lime（已完成),与%s对话,
1053,东海湾1-9,10001,桤木西,东海湾1-9,东海湾1-9,,主线,1,,,东海湾1-9#lime（已完成),与%s对话,
1055,等级升到20级,10001,桤木西,等级升到20级,等级升到20级,,主线,1,,,等级升到20级#lime（已完成),与%s对话,
1057,宠物达到5级,10001,桤木西,宠物达到5级,宠物达到5级,,主线,1,,,宠物达到5级#lime（已完成),与%s对话,
1059,东海湾1-10,10001,桤木西,东海湾1-10,东海湾1-10,,主线,1,,,东海湾1-10#lime（已完成),与%s对话,
1061,前往凌霄宝殿,10001,桤木西,前往凌霄宝殿,前往凌霄宝殿,,主线,1,,,前往凌霄宝殿#lime（已完成),与%s对话,
1063,开启自动战斗,10001,桤木西,开启自动战斗,开启自动战斗,,主线,1,,,开启自动战斗#lime（已完成),与%s对话,
1065,凌霄宝殿1-1,10001,桤木西,凌霄宝殿1-1,凌霄宝殿1-1,,主线,1,,,凌霄宝殿1-1#lime（已完成),与%s对话,
1067,宠物升级1次,10001,桤木西,宠物升级1次,宠物升级1次,,主线,1,,,宠物升级1次#lime（已完成),与%s对话,
1069,凌霄宝殿1-3,10001,桤木西,凌霄宝殿1-3,凌霄宝殿1-3,,主线,1,,,凌霄宝殿1-3#lime（已完成),与%s对话,
1071,熔炼一次装备,10001,桤木西,熔炼一次装备,熔炼一次装备,,主线,1,,,熔炼一次装备#lime（已完成),与%s对话,
1073,强化达到3级,10001,桤木西,强化达到3级,强化达到3级,,主线,1,,,强化达到3级#lime（已完成),与%s对话,
1075,凌霄宝殿1-5,10001,桤木西,凌霄宝殿1-5,凌霄宝殿1-5,,主线,1,,,凌霄宝殿1-5#lime（已完成),与%s对话,
1077,凌霄宝殿1-7,10001,桤木西,凌霄宝殿1-7,凌霄宝殿1-7,,主线,1,,,凌霄宝殿1-7#lime（已完成),与%s对话,
1079,等级升到30级,10001,桤木西,等级升到30级,等级升到30级,,主线,1,,,等级升到30级#lime（已完成),与%s对话,
1081,个人BOSS1次,10001,桤木西,个人BOSS1次,个人BOSS1次,,主线,1,,,个人BOSS1次#lime（已完成),与%s对话,
1083,秘境宝藏1-3,10001,桤木西,秘境宝藏1-3,秘境宝藏1-3,,主线,1,,,秘境宝藏1-3#lime（已完成),与%s对话,
1085,宠物升级1次,10001,桤木西,宠物升级1次,宠物升级1次,,主线,1,,,宠物升级1次#lime（已完成),与%s对话,
1087,坐骑副本1次,10001,桤木西,坐骑副本,坐骑副本,,主线,1,,,坐骑副本#lime（已完成),与%s对话,
1089,坐骑升到3阶,10001,桤木西,坐骑升到3阶,坐骑升到3阶,,主线,1,,,坐骑升到3阶#lime（已完成),与%s对话,
1091,凌霄宝殿1-10,10001,桤木西,凌霄宝殿1-10,凌霄宝殿1-10,,主线,1,,,凌霄宝殿1-10#lime（已完成),与%s对话,
1093,仙君达到2阶,10001,桤木西,仙君达到2阶,仙君达到2阶,,主线,1,,,仙君达到2阶#lime（已完成),与%s对话,
1095,秘境宝藏1-6,10001,桤木西,秘境宝藏1-6,秘境宝藏1-6,,主线,1,,,秘境宝藏1-6#lime（已完成),与%s对话,
1097,第1章秘境星级奖励,10001,桤木西,第1章秘境星级奖励,第1章秘境星级奖励,,主线,1,,,秘境星级奖励#lime（已完成),与%s对话,
1099,擂台比武1次,10001,桤木西,擂台比武1次,擂台比武1次,,主线,1,,,擂台比武1次#lime（已完成),与%s对话,
1101,擂台比武3次,10001,桤木西,擂台比武3次,擂台比武3次,,主线,1,,,擂台比武3次#lime（已完成),与%s对话,
1103,凌霄宝殿2-4,10001,桤木西,凌霄宝殿2-4,凌霄宝殿2-4,,主线,1,,,凌霄宝殿2-4#lime（已完成),与%s对话,
1105,熔炼一次装备,10001,桤木西,熔炼一次装备,熔炼一次装备,,主线,1,,,熔炼一次装备#lime（已完成),与%s对话,
1107,精炼达到1级,10001,桤木西,精炼达到1级,精炼达到1级,,主线,1,,,精炼达到1级#lime（已完成),与%s对话,
1109,凌霄宝殿2-7,10001,桤木西,凌霄宝殿2-7,凌霄宝殿2-7,,主线,1,,,凌霄宝殿2-7#lime（已完成),与%s对话,
1111,凌霄宝殿2-10,10001,桤木西,凌霄宝殿2-10,凌霄宝殿2-10,,主线,1,,,凌霄宝殿2-10#lime（已完成),与%s对话,
1113,前往大雁塔,10001,桤木西,前往大雁塔,前往大雁塔,,主线,1,,,前往大雁塔#lime（已完成),与%s对话,
1115,东海降妖3次,10001,桤木西,东海降妖3次,东海降妖3次,,主线,1,,,东海降妖3次#lime（已完成),与%s对话,
1117,大雁塔1-1,10001,桤木西,大雁塔1-1,大雁塔1-1,,主线,1,,,大雁塔1-1#lime（已完成),与%s对话,
1119,技能达到10级,10001,桤木西,技能达到10级,技能达到10级,,主线,1,,,技能达到10级#lime（已完成),与%s对话,
1121,大雁塔1-3,10001,桤木西,大雁塔1-3,大雁塔1-3,,主线,1,,,大雁塔1-3#lime（已完成),与%s对话,
1123,仙君升级10次,10001,桤木西,仙君升级10次,仙君升级10次,,主线,1,,,仙君升级10次#lime（已完成),与%s对话,
1125,大雁塔1-4,10001,桤木西,大雁塔1-4,大雁塔1-4,,主线,1,,,大雁塔1-4#lime（已完成),与%s对话,
1127,秘境宝藏2-6,10001,桤木西,秘境宝藏2-6,秘境宝藏2-6,,主线,1,,,秘境宝藏2-6#lime（已完成),与%s对话,
1129,宠物达到5级,10001,桤木西,宠物达到5级,宠物达到5级,,主线,1,,,宠物达到5级#lime（已完成),与%s对话,
1131,组队副本5次,10001,桤木西,组队副本5次,组队副本5次,,主线,1,,,组队副本5次#lime（已完成),与%s对话,
1133,大雁塔1-7,10001,桤木西,大雁塔1-7,大雁塔1-7,,主线,1,,,大雁塔1-7#lime（已完成),与%s对话,
1135,等级达到50级,10001,桤木西,等级达到50级,等级达到50级,,主线,1,,,等级达到50级#lime（已完成),与%s对话,
1137,天仙进阶3次,10001,桤木西,天仙进阶3次,天仙进阶3次,,主线,1,,,天仙进阶3次#lime（已完成),与%s对话,
1139,大雁塔1-10,10001,桤木西,大雁塔1-10,大雁塔1-10,,主线,1,,,大雁塔1-10#lime（已完成),与%s对话,
1141,皇城天塔第6关,10001,桤木西,皇城天塔第6关,皇城天塔第6关,,主线,1,,,皇城天塔第6关#lime（已完成),与%s对话,
1143,大雁塔2-1,10001,桤木西,大雁塔2-1,大雁塔2-1,,主线,1,,,大雁塔2-1#lime（已完成),与%s对话,
1145,仙君升级2次,10001,桤木西,仙君升级2次,仙君升级2次,,主线,1,,,仙君升级2次#lime（已完成),与%s对话,
1147,大雁塔2-4,10001,桤木西,大雁塔2-4,大雁塔2-4,,主线,1,,,大雁塔2-4#lime（已完成),与%s对话,
1149,大雁塔2-7,10001,桤木西,大雁塔2-7,大雁塔2-7,,主线,1,,,大雁塔2-7#lime（已完成),与%s对话,
1151,大雁塔2-10,10001,桤木西,大雁塔2-10,大雁塔2-10,,主线,1,,,大雁塔2-10#lime（已完成),与%s对话,
1153,等级升到60级,10001,桤木西,等级升到60级,等级升到60级,,主线,1,,,等级升到60级#lime（已完成),与%s对话,
1155,大雁塔3-1,10001,桤木西,大雁塔3-1,大雁塔3-1,,主线,1,,,大雁塔3-1#lime（已完成),与%s对话,
1157,大雁塔3-4,10001,桤木西,大雁塔3-4,大雁塔3-4,,主线,1,,,大雁塔3-4#lime（已完成),与%s对话,
1159,大雁塔3-7,10001,桤木西,大雁塔3-7,大雁塔3-7,,主线,1,,,大雁塔3-7#lime（已完成),与%s对话,
1161,大雁塔3-10,10001,桤木西,大雁塔3-10,大雁塔3-10,,主线,1,,,大雁塔3-10#lime（已完成),与%s对话,
1163,前往长安城,10001,桤木西,前往长安城,前往长安城,,主线,1,,,前往长安城#lime（已完成),与%s对话,
